"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Focal"
"1",5,0,0,1,1,1,0,1,1,0,0
"2",6,0,1,0,1,1,0,1,1,1,0
"3",3,1,1,0,0,1,0,0,0,0,0
"4",5,0,0,1,0,1,0,1,1,1,0
"5",4,0,1,1,0,0,0,1,1,0,0
"6",5,1,1,0,1,1,0,0,1,0,0
"7",4,1,0,1,0,0,0,1,1,0,0
"8",4,0,1,1,0,0,0,1,1,0,0
"9",5,1,1,0,0,1,1,0,1,0,0
"10",5,0,1,1,0,0,1,0,1,1,0
"11",5,0,1,0,1,0,1,1,0,1,0
"12",3,1,0,1,0,0,0,0,1,0,0
"13",4,0,1,0,0,1,0,0,1,1,0
"14",7,0,1,1,1,0,1,1,1,1,0
"15",4,0,0,0,1,0,0,1,1,1,0
"16",6,1,1,1,0,1,1,1,0,0,0
"17",5,0,0,1,1,0,1,0,1,1,0
"18",7,1,1,0,0,1,1,1,1,1,0
"19",2,0,0,1,0,0,0,0,0,1,0
"20",6,1,0,1,1,1,1,0,1,0,0
"21",4,1,0,0,1,0,0,1,1,0,0
"22",4,1,0,0,0,0,1,0,1,1,0
"23",8,1,1,1,1,1,0,1,1,1,0
"24",5,1,0,0,0,1,1,1,1,0,0
"25",2,0,0,0,0,0,0,1,0,1,0
"26",5,0,1,1,1,1,0,0,1,0,0
"27",4,1,0,0,0,1,1,0,0,1,0
"28",3,1,0,0,1,0,0,1,0,0,0
"29",5,1,1,0,1,0,1,0,1,0,0
"30",6,0,1,0,1,1,1,1,0,1,0
"31",4,0,1,0,1,0,0,1,1,0,0
"32",6,1,1,1,0,1,0,1,0,1,0
"33",2,0,0,1,0,0,0,0,0,1,0
"34",5,0,0,1,0,1,0,1,1,1,0
"35",3,1,0,0,0,0,0,0,1,1,0
"36",6,1,1,1,1,0,0,0,1,1,0
"37",4,0,1,1,1,0,0,0,1,0,0
"38",3,1,1,0,0,0,1,0,0,0,0
"39",5,1,0,0,0,1,1,1,0,1,0
"40",4,0,0,1,0,1,1,1,0,0,0
"41",4,0,0,0,1,0,1,0,1,1,0
"42",2,1,0,0,0,0,0,1,0,0,0
"43",5,0,1,0,1,1,0,0,1,1,0
"44",5,1,0,1,0,1,0,1,0,1,0
"45",5,1,0,1,0,1,0,1,1,0,0
"46",4,1,0,0,0,1,1,1,0,0,0
"47",2,1,1,0,0,0,0,0,0,0,0
"48",4,1,1,0,0,0,0,1,1,0,0
"49",6,1,0,1,0,1,1,1,0,1,0
"50",4,0,1,1,1,0,0,1,0,0,0
"51",5,1,1,1,1,0,0,0,0,1,0
"52",4,0,1,1,0,1,1,0,0,0,0
"53",7,1,1,1,0,1,0,1,1,1,0
"54",3,0,0,0,0,0,1,1,1,0,0
"55",4,1,0,1,0,0,1,1,0,0,0
"56",3,0,0,0,0,0,1,0,1,1,0
"57",5,1,0,1,0,0,1,0,1,1,0
"58",4,0,0,1,0,1,0,1,1,0,0
"59",5,1,0,0,1,1,1,1,0,0,0
"60",4,1,0,0,0,0,0,1,1,1,0
"61",3,1,0,0,0,1,0,0,0,1,0
"62",6,1,1,1,0,0,1,0,1,1,0
"63",7,0,1,1,0,1,1,1,1,1,0
"64",9,1,1,1,1,1,1,1,1,1,0
"65",2,0,0,1,0,0,0,0,1,0,0
"66",7,1,0,1,1,1,1,1,0,1,0
"67",5,0,1,1,0,1,1,0,0,1,0
"68",5,1,0,1,0,1,0,1,1,0,0
"69",7,1,1,1,1,0,1,1,0,1,0
"70",5,0,1,0,1,0,1,1,1,0,0
"71",4,1,1,1,1,0,0,0,0,0,0
"72",3,0,0,1,0,0,1,1,0,0,0
"73",5,1,0,0,1,0,1,0,1,1,0
"74",6,1,0,0,1,0,1,1,1,1,0
"75",6,1,1,1,1,1,1,0,0,0,0
"76",5,1,1,0,0,0,1,1,0,1,0
"77",4,0,1,0,0,0,0,1,1,1,0
"78",2,0,1,0,0,0,0,0,0,1,0
"79",5,0,0,1,1,1,1,0,0,1,0
"80",6,0,1,1,1,0,1,0,1,1,0
"81",2,0,1,0,0,0,0,0,0,1,0
"82",5,1,1,0,1,0,0,1,1,0,0
"83",6,1,0,1,1,1,1,0,0,1,0
"84",4,1,1,0,0,0,0,0,1,1,0
"85",5,1,1,0,0,1,1,0,1,0,0
"86",7,1,1,1,0,0,1,1,1,1,0
"87",4,1,0,1,0,0,0,1,1,0,0
"88",5,0,1,1,0,0,0,1,1,1,0
"89",3,0,0,0,0,1,0,0,1,1,0
"90",6,1,1,1,0,0,1,1,1,0,0
"91",1,0,0,0,0,0,0,0,0,0,1
"92",1,0,0,0,0,0,0,0,0,0,1
"93",1,0,0,0,0,0,0,0,0,0,1
"94",1,0,0,0,0,0,0,0,0,0,1
"95",1,0,0,0,0,0,0,0,0,0,1
"96",1,0,0,0,0,0,0,0,0,0,1
"97",1,0,0,0,0,0,0,0,0,0,1
"98",1,0,0,0,0,0,0,0,0,0,1
"99",1,0,0,0,0,0,0,0,0,0,1
"100",1,0,0,0,0,0,0,0,0,0,1
