"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Focal"
"1",4,1,1,0,0,0,0,0,1,1,0
"2",7,1,1,1,1,1,1,1,0,0,0
"3",6,0,0,1,1,1,1,0,1,1,0
"4",5,0,0,1,0,0,1,1,1,1,0
"5",3,0,1,1,0,0,1,0,0,0,0
"6",7,1,0,1,1,1,0,1,1,1,0
"7",4,1,0,0,0,0,1,1,1,0,0
"8",5,0,1,0,0,1,1,0,1,1,0
"9",6,1,1,0,1,1,1,1,0,0,0
"10",4,1,1,0,1,0,0,1,0,0,0
"11",5,1,1,1,0,1,1,0,0,0,0
"12",3,0,1,0,0,0,1,0,1,0,0
"13",6,1,1,1,1,0,0,1,1,0,0
"14",3,1,1,0,0,1,0,0,0,0,0
"15",4,0,0,0,1,0,1,1,1,0,0
"16",5,1,1,0,1,1,1,0,0,0,0
"17",5,1,0,0,0,1,1,0,1,1,0
"18",4,1,0,1,0,0,0,1,1,0,0
"19",7,0,1,1,0,1,1,1,1,1,0
"20",5,0,0,1,0,1,1,1,0,1,0
"21",4,0,1,0,0,1,0,1,0,1,0
"22",6,1,1,1,1,0,0,1,0,1,0
"23",4,0,0,1,1,1,0,1,0,0,0
"24",4,0,0,0,1,1,0,1,0,1,0
"25",6,0,0,1,1,0,1,1,1,1,0
"26",5,0,1,1,1,0,0,1,0,1,0
"27",4,1,0,1,0,0,1,0,1,0,0
"28",2,0,0,0,0,0,1,1,0,0,0
"29",4,0,1,0,1,0,1,0,0,1,0
"30",4,1,1,0,0,1,0,0,1,0,0
"31",3,0,1,0,0,0,1,0,0,1,0
"32",4,0,1,0,1,0,1,1,0,0,0
"33",5,0,0,1,1,1,0,1,0,1,0
"34",4,1,0,1,1,0,0,1,0,0,0
"35",3,0,0,0,0,1,0,1,0,1,0
"36",6,0,0,1,1,1,1,1,0,1,0
"37",5,1,1,1,0,0,0,0,1,1,0
"38",7,1,1,1,0,1,0,1,1,1,0
"39",2,0,0,0,0,0,0,0,1,1,0
"40",6,1,1,0,1,1,0,1,1,0,0
"41",6,1,1,1,0,1,0,1,0,1,0
"42",5,1,0,0,1,1,1,1,0,0,0
"43",6,1,1,0,1,1,1,1,0,0,0
"44",3,0,1,0,0,0,1,1,0,0,0
"45",9,1,1,1,1,1,1,1,1,1,0
"46",7,1,1,1,0,0,1,1,1,1,0
"47",5,1,0,0,0,1,1,1,1,0,0
"48",5,1,0,0,1,1,0,1,1,0,0
"49",4,0,1,0,0,1,1,1,0,0,0
"50",5,1,1,0,0,0,0,1,1,1,0
"51",4,1,0,0,0,0,0,1,1,1,0
"52",5,1,0,1,0,1,0,1,0,1,0
"53",3,0,0,1,0,1,0,1,0,0,0
"54",4,0,0,1,0,1,1,1,0,0,0
"55",6,1,1,1,0,1,0,0,1,1,0
"56",5,0,0,1,1,1,1,0,1,0,0
"57",0,0,0,0,0,0,0,0,0,0,0
"58",1,0,1,0,0,0,0,0,0,0,0
"59",5,1,0,0,1,1,0,0,1,1,0
"60",5,0,1,0,1,0,1,1,1,0,0
"61",4,0,1,0,0,0,1,1,0,1,0
"62",4,0,1,0,0,0,0,1,1,1,0
"63",2,0,0,0,1,0,0,1,0,0,0
"64",3,0,0,1,0,0,1,1,0,0,0
"65",4,1,0,1,1,0,1,0,0,0,0
"66",4,1,1,0,1,0,0,1,0,0,0
"67",5,0,1,0,0,0,1,1,1,1,0
"68",5,0,1,0,1,0,0,1,1,1,0
"69",5,0,1,1,0,1,0,0,1,1,0
"70",4,1,1,0,0,0,1,0,0,1,0
"71",5,1,1,0,0,1,1,1,0,0,0
"72",3,0,0,1,1,1,0,0,0,0,0
"73",3,0,0,1,0,0,1,1,0,0,0
"74",1,1,0,0,0,0,0,0,0,0,0
"75",4,0,1,0,0,1,0,1,1,0,0
"76",5,1,1,0,1,0,1,0,0,1,0
"77",6,1,0,1,1,1,1,1,0,0,0
"78",5,1,1,1,0,0,0,1,1,0,0
"79",4,1,0,1,0,0,0,1,1,0,0
"80",4,0,0,0,1,1,1,0,1,0,0
"81",7,1,1,1,1,0,1,0,1,1,0
"82",6,0,1,1,1,0,1,0,1,1,0
"83",4,0,1,1,1,1,0,0,0,0,0
"84",4,1,1,0,1,0,0,1,0,0,0
"85",3,0,1,0,0,1,0,0,1,0,0
"86",5,0,0,0,0,1,1,1,1,1,0
"87",4,1,1,1,0,0,1,0,0,0,0
"88",6,1,0,0,1,1,1,1,0,1,0
"89",6,1,1,0,1,1,1,0,0,1,0
"90",5,1,0,1,1,0,0,1,0,1,0
"91",1,0,0,0,0,0,0,0,0,0,1
"92",1,0,0,0,0,0,0,0,0,0,1
"93",1,0,0,0,0,0,0,0,0,0,1
"94",1,0,0,0,0,0,0,0,0,0,1
"95",1,0,0,0,0,0,0,0,0,0,1
"96",1,0,0,0,0,0,0,0,0,0,1
"97",1,0,0,0,0,0,0,0,0,0,1
"98",1,0,0,0,0,0,0,0,0,0,1
"99",1,0,0,0,0,0,0,0,0,0,1
"100",1,0,0,0,0,0,0,0,0,0,1
