"","Fitness","Test_1","Test_2","Test_3","Test_4","Test_5","Test_6","Test_7","Test_8","Test_9","Focal"
"1",4,0,1,1,1,0,0,1,0,0,0
"2",4,0,1,0,0,1,0,1,1,0,0
"3",2,0,0,0,1,0,0,0,0,1,0
"4",6,1,1,1,1,1,0,0,0,1,0
"5",4,0,0,1,0,1,0,1,1,0,0
"6",4,1,0,0,1,1,1,0,0,0,0
"7",6,1,1,0,1,0,0,1,1,1,0
"8",7,1,1,0,1,0,1,1,1,1,0
"9",1,0,0,0,0,0,0,0,1,0,0
"10",4,1,0,1,0,1,1,0,0,0,0
"11",5,0,0,1,1,1,1,0,1,0,0
"12",6,0,1,0,1,1,1,1,0,1,0
"13",3,0,0,0,1,0,0,1,1,0,0
"14",8,1,1,1,1,1,1,1,0,1,0
"15",2,0,0,0,0,1,0,0,0,1,0
"16",5,0,1,0,0,1,1,1,0,1,0
"17",5,0,1,0,1,1,1,0,0,1,0
"18",6,1,0,1,1,1,1,0,0,1,0
"19",4,0,1,0,1,0,1,1,0,0,0
"20",4,1,0,1,1,1,0,0,0,0,0
"21",5,1,1,0,1,1,1,0,0,0,0
"22",6,0,1,0,1,1,1,0,1,1,0
"23",6,1,1,1,1,1,0,0,0,1,0
"24",6,1,0,1,0,1,1,0,1,1,0
"25",5,0,1,1,0,1,0,1,0,1,0
"26",3,1,0,0,0,1,0,0,1,0,0
"27",6,1,1,0,1,1,1,0,0,1,0
"28",5,0,1,0,0,0,1,1,1,1,0
"29",6,1,0,1,1,0,1,1,1,0,0
"30",8,1,0,1,1,1,1,1,1,1,0
"31",2,0,1,0,0,0,0,0,0,1,0
"32",0,0,0,0,0,0,0,0,0,0,0
"33",6,1,0,0,1,0,1,1,1,1,0
"34",4,0,0,1,1,0,1,1,0,0,0
"35",4,1,0,0,1,0,1,0,0,1,0
"36",5,1,1,0,1,0,0,1,1,0,0
"37",4,1,1,0,0,1,0,1,0,0,0
"38",5,1,1,1,1,0,1,0,0,0,0
"39",6,0,0,0,1,1,1,1,1,1,0
"40",4,0,0,1,0,0,1,0,1,1,0
"41",4,0,1,0,1,0,0,1,0,1,0
"42",5,0,1,1,1,1,1,0,0,0,0
"43",4,1,1,0,0,0,0,0,1,1,0
"44",3,0,1,0,0,0,0,0,1,1,0
"45",3,0,0,0,0,0,1,0,1,1,0
"46",6,1,0,0,1,1,1,1,0,1,0
"47",5,0,0,0,1,1,1,1,1,0,0
"48",4,0,1,0,1,0,0,1,1,0,0
"49",5,0,1,0,0,1,1,1,1,0,0
"50",3,1,0,0,0,1,1,0,0,0,0
"51",4,1,1,1,0,0,0,0,1,0,0
"52",3,0,0,0,0,1,1,0,0,1,0
"53",5,0,0,0,0,1,1,1,1,1,0
"54",6,1,0,1,1,1,1,0,1,0,0
"55",2,0,0,0,1,0,1,0,0,0,0
"56",5,1,1,0,0,0,0,1,1,1,0
"57",5,1,1,0,1,0,1,0,0,1,0
"58",3,0,0,0,0,1,0,1,1,0,0
"59",5,0,1,0,1,1,1,1,0,0,0
"60",4,0,1,1,0,1,1,0,0,0,0
"61",3,0,0,0,0,0,1,1,0,1,0
"62",6,1,1,0,0,0,1,1,1,1,0
"63",5,0,1,1,0,0,0,1,1,1,0
"64",6,1,1,1,1,0,0,1,1,0,0
"65",7,1,0,1,1,1,1,0,1,1,0
"66",3,0,0,1,0,0,0,1,1,0,0
"67",4,1,1,1,0,0,1,0,0,0,0
"68",5,0,1,0,1,0,1,1,0,1,0
"69",4,0,0,1,0,1,1,0,0,1,0
"70",4,1,0,1,0,0,0,1,0,1,0
"71",5,1,0,0,1,0,1,0,1,1,0
"72",5,1,0,1,1,0,1,1,0,0,0
"73",7,0,1,1,1,1,1,0,1,1,0
"74",5,0,1,1,0,1,1,0,1,0,0
"75",7,1,1,1,1,1,0,0,1,1,0
"76",5,0,0,0,1,1,0,1,1,1,0
"77",5,1,0,1,1,1,0,0,0,1,0
"78",4,1,0,0,0,1,1,1,0,0,0
"79",5,1,0,1,0,1,0,0,1,1,0
"80",1,0,1,0,0,0,0,0,0,0,0
"81",7,1,1,1,1,1,1,1,0,0,0
"82",6,1,1,1,0,1,1,0,1,0,0
"83",3,0,0,0,1,0,1,0,0,1,0
"84",4,1,1,0,1,0,1,0,0,0,0
"85",6,1,0,1,0,1,0,1,1,1,0
"86",4,0,0,0,0,0,1,1,1,1,0
"87",4,1,0,1,1,0,0,0,1,0,0
"88",3,1,1,0,0,0,0,1,0,0,0
"89",5,1,1,0,0,1,1,1,0,0,0
"90",6,1,0,1,1,0,1,1,0,1,0
"91",1,0,0,0,0,0,0,0,0,0,1
"92",1,0,0,0,0,0,0,0,0,0,1
"93",1,0,0,0,0,0,0,0,0,0,1
"94",1,0,0,0,0,0,0,0,0,0,1
"95",1,0,0,0,0,0,0,0,0,0,1
"96",1,0,0,0,0,0,0,0,0,0,1
"97",1,0,0,0,0,0,0,0,0,0,1
"98",1,0,0,0,0,0,0,0,0,0,1
"99",1,0,0,0,0,0,0,0,0,0,1
"100",1,0,0,0,0,0,0,0,0,0,1
