"","Fitness","Test_1","Test_2","Test_3","Test_4","Test_5","Test_6","Test_7","Test_8","Test_9","Focal"
"1",5,0,1,0,1,0,1,1,0,1,0
"2",7,1,1,1,0,1,1,1,1,0,0
"3",4,1,1,1,0,1,0,0,0,0,0
"4",4,0,0,1,0,1,0,1,0,1,0
"5",5,1,1,0,0,0,1,0,1,1,0
"6",3,0,0,1,0,0,1,0,0,1,0
"7",2,0,0,0,0,0,1,0,0,1,0
"8",7,1,1,1,1,0,1,0,1,1,0
"9",7,1,1,0,1,1,1,1,1,0,0
"10",7,1,1,1,1,1,1,1,0,0,0
"11",5,0,0,1,1,0,0,1,1,1,0
"12",6,1,0,0,1,1,1,1,0,1,0
"13",3,0,1,0,0,0,0,0,1,1,0
"14",5,0,0,1,0,1,1,0,1,1,0
"15",4,1,1,0,0,0,1,0,0,1,0
"16",5,0,0,1,0,1,1,1,0,1,0
"17",2,0,0,1,0,0,0,0,1,0,0
"18",4,0,1,0,0,0,0,1,1,1,0
"19",6,1,0,1,0,1,1,0,1,1,0
"20",2,0,0,0,0,0,0,0,1,1,0
"21",5,1,1,0,1,0,0,0,1,1,0
"22",5,0,1,1,0,1,0,1,1,0,0
"23",6,0,1,0,1,1,1,0,1,1,0
"24",1,0,0,0,1,0,0,0,0,0,0
"25",6,1,1,1,0,0,1,1,1,0,0
"26",5,1,1,0,1,1,0,1,0,0,0
"27",6,0,1,0,1,1,1,1,0,1,0
"28",3,0,1,0,1,0,0,1,0,0,0
"29",5,0,1,0,0,1,0,1,1,1,0
"30",4,0,0,1,1,0,1,0,1,0,0
"31",4,1,0,1,1,0,0,0,0,1,0
"32",2,0,0,0,0,1,0,0,1,0,0
"33",5,1,1,0,1,1,0,0,0,1,0
"34",2,0,0,0,1,0,1,0,0,0,0
"35",4,0,0,1,0,0,0,1,1,1,0
"36",5,1,1,1,0,1,0,0,1,0,0
"37",3,0,0,0,1,0,1,0,0,1,0
"38",4,0,1,1,1,0,0,1,0,0,0
"39",2,0,0,1,0,0,1,0,0,0,0
"40",7,1,1,0,0,1,1,1,1,1,0
"41",3,0,0,1,1,0,1,0,0,0,0
"42",3,1,1,0,0,0,0,0,0,1,0
"43",4,0,1,1,1,0,0,0,0,1,0
"44",7,0,1,1,1,1,1,1,0,1,0
"45",4,0,0,0,1,1,1,0,1,0,0
"46",2,0,1,0,0,0,0,0,1,0,0
"47",5,1,0,1,1,0,1,0,0,1,0
"48",4,1,0,0,0,1,1,1,0,0,0
"49",4,1,0,0,0,0,1,1,0,1,0
"50",6,0,1,1,1,0,1,0,1,1,0
"51",5,1,1,1,0,1,1,0,0,0,0
"52",1,0,0,0,1,0,0,0,0,0,0
"53",3,1,0,1,0,0,0,0,0,1,0
"54",4,1,0,0,1,1,1,0,0,0,0
"55",4,0,0,1,0,1,0,0,1,1,0
"56",2,0,1,0,0,1,0,0,0,0,0
"57",7,1,1,1,1,0,0,1,1,1,0
"58",8,1,1,1,1,1,0,1,1,1,0
"59",1,0,0,0,0,1,0,0,0,0,0
"60",3,0,1,1,0,0,0,0,1,0,0
"61",6,1,1,0,0,1,1,1,0,1,0
"62",2,1,0,0,0,0,1,0,0,0,0
"63",1,0,0,0,0,0,0,0,0,1,0
"64",4,1,0,1,0,0,1,1,0,0,0
"65",4,1,0,0,1,0,0,1,0,1,0
"66",2,0,1,0,1,0,0,0,0,0,0
"67",5,0,0,0,0,1,1,1,1,1,0
"68",2,1,0,0,0,0,1,0,0,0,0
"69",7,1,0,0,1,1,1,1,1,1,0
"70",4,0,0,0,1,1,1,1,0,0,0
"71",5,0,1,1,0,1,0,1,0,1,0
"72",4,0,1,0,1,0,0,1,0,1,0
"73",7,1,1,1,1,0,1,1,0,1,0
"74",5,1,1,0,1,0,1,1,0,0,0
"75",5,0,1,1,1,0,1,0,1,0,0
"76",4,1,0,0,0,1,1,0,0,1,0
"77",7,1,1,1,0,0,1,1,1,1,0
"78",4,0,0,1,1,0,0,1,1,0,0
"79",7,1,1,0,1,1,1,0,1,1,0
"80",5,1,1,1,1,0,1,0,0,0,0
"81",5,1,0,1,0,0,1,1,0,1,0
"82",1,1,0,0,0,0,0,0,0,0,0
"83",6,1,1,0,1,0,1,1,0,1,0
"84",2,0,0,0,1,0,0,0,1,0,0
"85",6,1,1,1,1,1,1,0,0,0,0
"86",8,1,1,0,1,1,1,1,1,1,0
"87",7,1,0,1,1,1,1,1,1,0,0
"88",3,1,1,0,0,0,0,0,1,0,0
"89",7,1,1,0,1,1,1,1,1,0,0
"90",5,1,1,0,0,0,1,1,1,0,0
"91",1,0,0,0,0,0,0,0,0,0,1
"92",1,0,0,0,0,0,0,0,0,0,1
"93",1,0,0,0,0,0,0,0,0,0,1
"94",1,0,0,0,0,0,0,0,0,0,1
"95",1,0,0,0,0,0,0,0,0,0,1
"96",1,0,0,0,0,0,0,0,0,0,1
"97",1,0,0,0,0,0,0,0,0,0,1
"98",1,0,0,0,0,0,0,0,0,0,1
"99",1,0,0,0,0,0,0,0,0,0,1
"100",1,0,0,0,0,0,0,0,0,0,1
