"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Focal"
"1",7,1,1,0,1,1,1,1,1,0,0
"2",4,0,0,0,0,0,1,1,1,1,0
"3",6,1,1,1,1,0,1,0,0,1,0
"4",6,0,1,1,0,1,1,1,1,0,0
"5",5,1,0,0,0,0,1,1,1,1,0
"6",5,0,0,1,0,1,1,0,1,1,0
"7",5,0,1,1,0,1,1,0,1,0,0
"8",2,0,0,0,0,0,0,0,1,1,0
"9",1,0,1,0,0,0,0,0,0,0,0
"10",4,1,0,0,1,0,0,1,0,1,0
"11",6,0,0,1,1,1,1,0,1,1,0
"12",4,1,0,0,1,1,0,1,0,0,0
"13",5,0,1,1,1,0,1,1,0,0,0
"14",2,1,1,0,0,0,0,0,0,0,0
"15",5,1,1,0,0,1,0,0,1,1,0
"16",4,0,0,0,1,1,1,0,0,1,0
"17",3,0,0,0,1,1,1,0,0,0,0
"18",3,0,1,1,1,0,0,0,0,0,0
"19",5,1,0,1,0,0,0,1,1,1,0
"20",7,1,1,0,1,1,1,0,1,1,0
"21",6,1,1,0,1,1,1,1,0,0,0
"22",4,1,0,0,0,0,1,1,1,0,0
"23",4,0,0,0,0,1,1,0,1,1,0
"24",6,0,1,1,1,1,0,1,0,1,0
"25",4,0,0,0,1,0,0,1,1,1,0
"26",4,0,0,0,1,1,1,0,0,1,0
"27",6,0,0,1,1,1,1,0,1,1,0
"28",3,0,0,0,1,0,0,1,0,1,0
"29",3,1,0,1,0,0,0,0,0,1,0
"30",5,1,1,0,1,0,0,1,0,1,0
"31",3,0,1,1,1,0,0,0,0,0,0
"32",3,0,0,0,0,1,1,0,1,0,0
"33",6,0,0,1,1,1,1,1,0,1,0
"34",1,0,0,0,0,0,1,0,0,0,0
"35",5,0,1,1,1,0,0,1,0,1,0
"36",2,0,0,0,0,0,0,1,0,1,0
"37",4,1,1,1,1,0,0,0,0,0,0
"38",3,0,1,0,0,0,0,1,0,1,0
"39",5,0,1,1,1,0,0,1,1,0,0
"40",4,0,0,1,0,1,1,0,1,0,0
"41",4,1,0,1,1,0,0,1,0,0,0
"42",3,0,1,0,1,1,0,0,0,0,0
"43",4,0,1,1,1,0,1,0,0,0,0
"44",4,1,0,0,0,1,1,1,0,0,0
"45",3,0,0,0,1,0,0,0,1,1,0
"46",6,1,0,0,0,1,1,1,1,1,0
"47",6,0,0,0,1,1,1,1,1,1,0
"48",5,0,1,0,0,1,1,1,0,1,0
"49",5,1,0,1,1,0,0,0,1,1,0
"50",6,1,1,1,1,0,0,0,1,1,0
"51",3,0,0,0,0,1,1,1,0,0,0
"52",4,0,1,1,0,1,1,0,0,0,0
"53",2,1,0,0,0,0,0,0,1,0,0
"54",3,0,0,1,0,0,0,1,1,0,0
"55",3,0,0,1,0,1,0,0,0,1,0
"56",7,1,1,1,1,1,0,0,1,1,0
"57",4,0,1,1,0,1,0,0,1,0,0
"58",5,1,1,1,0,1,0,0,1,0,0
"59",2,0,0,0,1,0,1,0,0,0,0
"60",4,1,1,1,0,0,1,0,0,0,0
"61",5,1,0,1,1,0,1,1,0,0,0
"62",5,1,1,1,0,0,1,0,1,0,0
"63",6,0,1,1,0,1,0,1,1,1,0
"64",5,0,0,0,1,0,1,1,1,1,0
"65",4,0,1,0,1,0,0,1,0,1,0
"66",1,0,0,0,1,0,0,0,0,0,0
"67",5,0,1,0,0,0,1,1,1,1,0
"68",4,0,1,1,0,0,1,0,1,0,0
"69",7,1,1,1,1,0,1,1,1,0,0
"70",3,0,1,0,0,1,0,0,1,0,0
"71",4,0,0,1,1,1,0,0,1,0,0
"72",4,0,1,1,0,1,0,1,0,0,0
"73",5,1,1,0,1,1,0,0,1,0,0
"74",4,0,0,1,0,1,0,1,0,1,0
"75",4,0,0,1,0,0,1,1,0,1,0
"76",5,0,1,0,0,0,1,1,1,1,0
"77",5,1,0,1,0,0,1,1,0,1,0
"78",6,0,1,1,1,0,0,1,1,1,0
"79",5,1,0,1,1,0,0,0,1,1,0
"80",4,1,1,0,1,0,0,1,0,0,0
"81",7,1,1,1,1,1,0,0,1,1,0
"82",2,0,1,0,0,0,0,0,1,0,0
"83",4,0,0,0,1,1,1,1,0,0,0
"84",5,0,0,0,1,1,1,1,0,1,0
"85",3,0,0,0,0,1,1,1,0,0,0
"86",7,0,1,1,1,1,1,1,1,0,0
"87",5,1,1,0,0,1,1,1,0,0,0
"88",5,0,0,1,1,1,0,1,0,1,0
"89",4,0,1,1,0,0,0,1,0,1,0
"90",5,1,0,1,0,0,1,1,1,0,0
"91",1,0,0,0,0,0,0,0,0,0,1
"92",1,0,0,0,0,0,0,0,0,0,1
"93",1,0,0,0,0,0,0,0,0,0,1
"94",1,0,0,0,0,0,0,0,0,0,1
"95",1,0,0,0,0,0,0,0,0,0,1
"96",1,0,0,0,0,0,0,0,0,0,1
"97",1,0,0,0,0,0,0,0,0,0,1
"98",1,0,0,0,0,0,0,0,0,0,1
"99",1,0,0,0,0,0,0,0,0,0,1
"100",1,0,0,0,0,0,0,0,0,0,1
