"","Fitness","Test_1","Test_2","Test_3","Test_4","Test_5","Test_6","Test_7","Test_8","Test_9","Focal"
"1",4,0,1,1,0,0,0,1,0,1,0
"2",7,1,0,1,1,1,0,1,1,1,0
"3",5,1,1,1,1,0,0,0,0,1,0
"4",7,1,1,1,1,0,1,1,1,0,0
"5",4,1,1,0,1,1,0,0,0,0,0
"6",4,0,1,1,0,1,0,0,1,0,0
"7",5,1,1,0,0,0,1,1,1,0,0
"8",5,0,0,1,0,1,1,0,1,1,0
"9",7,1,0,1,1,1,1,1,0,1,0
"10",4,1,0,1,1,1,0,0,0,0,0
"11",6,1,1,1,1,0,0,1,1,0,0
"12",4,0,0,1,1,1,0,0,1,0,0
"13",5,1,0,0,1,0,1,1,0,1,0
"14",5,1,0,0,1,0,1,1,1,0,0
"15",6,1,1,0,1,1,1,0,1,0,0
"16",8,1,1,1,0,1,1,1,1,1,0
"17",3,0,0,1,0,0,0,0,1,1,0
"18",4,0,1,0,0,1,1,0,1,0,0
"19",6,0,1,1,1,1,1,1,0,0,0
"20",5,0,0,1,1,1,0,1,1,0,0
"21",4,0,0,0,1,1,0,0,1,1,0
"22",3,0,1,0,1,1,0,0,0,0,0
"23",3,0,1,0,0,0,0,0,1,1,0
"24",2,0,0,0,0,0,0,1,1,0,0
"25",5,0,1,1,1,1,0,0,1,0,0
"26",5,1,0,1,0,0,1,1,1,0,0
"27",7,1,1,1,1,0,0,1,1,1,0
"28",4,1,0,1,0,1,1,0,0,0,0
"29",6,0,1,1,1,1,0,1,0,1,0
"30",4,0,0,0,0,1,1,1,1,0,0
"31",4,1,0,0,1,1,0,0,0,1,0
"32",3,0,0,1,0,0,0,1,0,1,0
"33",4,0,0,1,1,1,0,0,0,1,0
"34",4,1,0,0,1,0,1,1,0,0,0
"35",4,0,0,0,1,1,0,1,0,1,0
"36",4,0,0,1,0,1,0,0,1,1,0
"37",5,0,0,1,0,1,0,1,1,1,0
"38",3,1,1,0,0,0,0,0,0,1,0
"39",5,0,1,0,1,0,1,1,1,0,0
"40",2,1,0,0,1,0,0,0,0,0,0
"41",3,0,0,0,1,0,0,0,1,1,0
"42",4,1,0,0,1,0,0,1,1,0,0
"43",6,1,0,1,1,1,0,1,1,0,0
"44",6,1,1,1,0,1,0,1,1,0,0
"45",6,0,1,0,1,1,1,1,0,1,0
"46",4,0,0,1,0,1,0,1,1,0,0
"47",6,1,0,1,0,1,1,1,1,0,0
"48",4,0,0,1,1,0,1,0,0,1,0
"49",4,1,1,0,0,1,0,0,0,1,0
"50",5,1,0,1,1,0,1,0,0,1,0
"51",2,0,0,0,0,1,0,1,0,0,0
"52",2,0,1,0,0,0,0,0,1,0,0
"53",6,1,1,0,0,1,1,0,1,1,0
"54",3,0,0,0,1,1,1,0,0,0,0
"55",4,0,1,0,1,1,0,0,1,0,0
"56",5,0,1,1,1,0,1,0,0,1,0
"57",4,0,0,1,1,1,0,0,1,0,0
"58",7,0,1,1,1,1,1,0,1,1,0
"59",6,1,1,0,1,1,1,1,0,0,0
"60",4,0,1,1,1,0,0,0,1,0,0
"61",4,1,1,0,1,1,0,0,0,0,0
"62",6,0,1,1,1,1,1,0,0,1,0
"63",3,0,0,1,0,1,0,1,0,0,0
"64",3,0,0,0,1,0,0,1,0,1,0
"65",4,1,0,1,1,0,1,0,0,0,0
"66",5,1,1,1,0,1,0,0,0,1,0
"67",4,0,0,1,1,1,1,0,0,0,0
"68",2,0,0,1,0,0,0,0,0,1,0
"69",6,1,1,1,1,0,0,0,1,1,0
"70",5,1,1,0,1,0,0,1,0,1,0
"71",5,1,0,1,0,0,1,1,1,0,0
"72",5,0,1,0,1,1,1,1,0,0,0
"73",5,0,1,1,0,1,1,0,1,0,0
"74",5,1,1,0,0,0,0,1,1,1,0
"75",4,0,0,1,0,0,0,1,1,1,0
"76",3,1,0,0,0,0,0,0,1,1,0
"77",4,1,1,0,0,0,0,0,1,1,0
"78",5,1,0,0,1,1,0,0,1,1,0
"79",5,0,0,1,1,0,0,1,1,1,0
"80",3,0,1,0,0,0,0,1,0,1,0
"81",7,1,0,1,0,1,1,1,1,1,0
"82",5,1,0,1,1,0,1,0,1,0,0
"83",4,0,1,0,1,0,0,1,1,0,0
"84",5,0,1,0,1,0,1,1,0,1,0
"85",6,0,1,1,0,1,1,0,1,1,0
"86",5,1,0,1,1,1,0,0,0,1,0
"87",4,0,0,0,0,1,1,1,1,0,0
"88",0,0,0,0,0,0,0,0,0,0,0
"89",7,1,1,0,1,1,0,1,1,1,0
"90",5,0,0,0,1,1,1,1,0,1,0
"91",1,0,0,0,0,0,0,0,0,0,1
"92",1,0,0,0,0,0,0,0,0,0,1
"93",1,0,0,0,0,0,0,0,0,0,1
"94",1,0,0,0,0,0,0,0,0,0,1
"95",1,0,0,0,0,0,0,0,0,0,1
"96",1,0,0,0,0,0,0,0,0,0,1
"97",1,0,0,0,0,0,0,0,0,0,1
"98",1,0,0,0,0,0,0,0,0,0,1
"99",1,0,0,0,0,0,0,0,0,0,1
"100",1,0,0,0,0,0,0,0,0,0,1
