"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Test_ 10","Test_ 11","Test_ 12","Test_ 13","Test_ 14","Test_ 15","Test_ 16","Test_ 17","Test_ 18","Test_ 19","Focal"
"1",6,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"2",10,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0
"3",8,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0
"4",12,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0
"5",9,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0
"6",13,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0
"7",9,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0
"8",11,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0
"9",9,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
"10",9,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0
"11",11,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0
"12",7,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
"13",12,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0
"14",11,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
"15",12,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0
"16",13,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0
"17",11,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0
"18",11,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0
"19",11,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0
"20",13,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0
"21",10,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0
"22",6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"23",8,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
"24",9,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
"25",14,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0
"26",11,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0
"27",12,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0
"28",7,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
"29",11,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0
"30",12,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0
"31",10,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0
"32",8,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0
"33",6,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0
"34",8,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0
