"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Test_ 10","Test_ 11","Test_ 12","Test_ 13","Test_ 14","Test_ 15","Test_ 16","Test_ 17","Test_ 18","Test_ 19","Focal"
"1",10,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0
"2",12,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0
"3",10,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0
"4",8,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0
"5",8,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
"6",9,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0
"7",10,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0
"8",5,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"9",5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
"10",10,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0
"11",12,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0
"12",6,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"13",12,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0
"14",10,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0
"15",10,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0
"16",10,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0
"17",9,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0
"18",8,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0
"19",7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0
"20",6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"21",11,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0
"22",11,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
"23",6,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"24",8,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
"25",10,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0
"26",9,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0
"27",8,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0
"28",9,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
"29",12,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
"30",9,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"31",10,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0
"32",9,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0
"33",8,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0
"34",11,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0
"35",9,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"36",15,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0
"37",11,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0
"38",6,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
"39",8,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
"40",11,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0
"41",11,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0
"42",12,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0
"43",12,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0
"44",11,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0
"45",6,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
"46",9,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0
"47",5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
"48",8,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
"49",7,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"50",8,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0
"51",9,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0
"52",12,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0
"53",12,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0
"54",7,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0
"55",9,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
"56",8,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0
"57",11,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0
"58",10,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0
"59",9,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
"60",7,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0
"61",7,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"62",7,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0
"63",17,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"64",10,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0
"65",8,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0
"66",7,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
"67",10,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0
"68",11,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0
"69",9,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
"70",8,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0
"71",10,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0
"72",13,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0
"73",8,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
"74",15,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"75",11,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0
"76",8,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
"77",10,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0
"78",9,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0
"79",9,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0
"80",13,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0
"81",13,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"82",9,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0
"83",10,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
"84",10,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0
"85",10,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0
"86",9,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0
"87",13,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0
"88",13,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
"89",12,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0
"90",10,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
