"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Focal"
"1",5,1,0,1,0,1,1,0,1,0,0
"2",6,0,1,1,0,1,1,1,0,1,0
"3",7,1,1,1,1,1,1,0,0,1,0
"4",6,1,1,1,0,1,1,1,0,0,0
"5",5,0,1,0,0,1,0,1,1,1,0
"6",4,1,1,0,0,1,1,0,0,0,0
"7",3,1,0,0,0,0,0,0,1,1,0
"8",2,0,0,0,1,1,0,0,0,0,0
"9",6,1,1,0,1,1,1,0,1,0,0
"10",2,0,0,0,0,0,0,0,1,1,0
"11",3,1,1,1,0,0,0,0,0,0,0
"12",6,0,0,1,1,0,1,1,1,1,0
"13",3,1,0,0,0,0,0,0,1,1,0
"14",7,0,1,1,0,1,1,1,1,1,0
"15",6,1,0,1,1,0,0,1,1,1,0
"16",4,1,1,0,0,0,0,1,0,1,0
"17",4,1,1,1,0,0,0,0,1,0,0
"18",3,1,1,0,0,0,0,1,0,0,0
"19",5,0,1,0,0,0,1,1,1,1,0
"20",6,0,1,1,1,0,1,0,1,1,0
"21",4,1,1,0,0,0,0,0,1,1,0
"22",6,1,1,0,1,1,0,1,1,0,0
"23",6,0,1,0,1,1,1,1,0,1,0
"24",3,0,0,1,0,0,1,0,1,0,0
"25",6,1,1,1,0,1,1,0,1,0,0
"26",2,0,0,0,1,0,0,0,0,1,0
"27",5,1,1,0,1,1,0,0,0,1,0
"28",2,0,0,0,0,0,0,1,0,1,0
"29",5,1,1,0,0,0,1,0,1,1,0
"30",3,0,0,0,1,0,1,0,1,0,0
"31",5,1,1,1,1,0,0,1,0,0,0
"32",6,1,1,1,1,0,0,1,1,0,0
"33",6,0,1,1,0,0,1,1,1,1,0
"34",6,1,1,1,0,1,1,1,0,0,0
"35",6,1,0,1,0,1,0,1,1,1,0
"36",7,0,1,1,1,0,1,1,1,1,0
"37",7,1,1,1,1,0,0,1,1,1,0
"38",6,0,0,1,1,0,1,1,1,1,0
"39",5,0,1,0,1,0,0,1,1,1,0
"40",2,0,0,0,0,0,1,0,1,0,0
"41",4,0,0,1,0,1,0,0,1,1,0
"42",6,0,1,1,1,0,1,1,0,1,0
"43",4,1,1,0,0,0,1,0,1,0,0
"44",4,1,1,0,1,1,0,0,0,0,0
"45",3,1,0,0,0,0,0,1,1,0,0
"46",3,1,0,0,1,0,0,0,1,0,0
"47",5,1,1,0,0,0,1,1,0,1,0
"48",4,1,0,0,0,0,1,0,1,1,0
"49",4,0,1,0,1,1,0,1,0,0,0
"50",4,1,1,1,0,0,0,1,0,0,0
"51",4,1,0,1,0,0,0,1,1,0,0
"52",4,1,0,0,1,1,0,1,0,0,0
"53",7,1,0,1,0,1,1,1,1,1,0
"54",5,0,1,1,0,1,0,1,0,1,0
"55",4,0,1,0,1,1,0,0,1,0,0
"56",6,0,0,0,1,1,1,1,1,1,0
"57",4,1,0,1,0,1,1,0,0,0,0
"58",5,1,0,0,1,1,0,0,1,1,0
"59",6,1,1,1,0,1,0,1,1,0,0
"60",4,0,0,1,0,0,1,0,1,1,0
"61",4,0,1,1,0,1,0,0,1,0,0
"62",2,0,0,0,1,0,1,0,0,0,0
"63",3,0,0,0,1,0,0,0,1,1,0
"64",3,0,0,0,0,1,0,1,0,1,0
"65",3,1,0,0,0,0,0,1,1,0,0
"66",4,1,0,1,1,0,1,0,0,0,0
"67",2,0,1,0,0,0,0,1,0,0,0
"68",3,0,0,1,1,1,0,0,0,0,0
"69",1,0,0,0,1,0,0,0,0,0,0
"70",3,0,1,1,0,0,1,0,0,0,0
"71",2,0,0,0,1,0,0,0,0,1,0
"72",6,0,1,1,1,1,1,0,1,0,0
"73",4,0,0,1,1,0,1,1,0,0,0
"74",5,1,1,0,1,0,0,1,0,1,0
"75",3,1,0,1,0,1,0,0,0,0,0
"76",7,1,0,1,1,0,1,1,1,1,0
"77",6,0,0,0,1,1,1,1,1,1,0
"78",6,1,1,0,0,0,1,1,1,1,0
"79",6,1,0,1,1,1,0,1,0,1,0
"80",3,0,0,0,1,0,1,0,1,0,0
"81",5,1,1,1,0,0,1,0,0,1,0
"82",3,0,0,0,0,0,0,1,1,1,0
"83",4,1,0,0,1,0,1,0,0,1,0
"84",4,0,1,0,0,1,1,0,0,1,0
"85",6,1,0,0,1,1,1,1,1,0,0
"86",3,0,0,1,0,0,0,0,1,1,0
"87",4,0,0,1,1,0,0,1,1,0,0
"88",5,1,0,1,1,0,1,0,0,1,0
"89",5,0,0,1,1,1,0,0,1,1,0
"90",4,1,1,0,1,0,0,0,1,0,0
"91",1,0,0,0,0,0,0,0,0,0,1
"92",1,0,0,0,0,0,0,0,0,0,1
"93",1,0,0,0,0,0,0,0,0,0,1
"94",1,0,0,0,0,0,0,0,0,0,1
"95",1,0,0,0,0,0,0,0,0,0,1
"96",1,0,0,0,0,0,0,0,0,0,1
"97",1,0,0,0,0,0,0,0,0,0,1
"98",1,0,0,0,0,0,0,0,0,0,1
"99",1,0,0,0,0,0,0,0,0,0,1
"100",1,0,0,0,0,0,0,0,0,0,1
