"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Focal"
"1",3,1,0,0,0,1,1,0,0,0,0
"2",3,1,0,1,1,0,0,0,0,0,0
"3",4,1,1,0,0,1,1,0,0,0,0
"4",3,0,1,0,0,1,0,0,0,1,0
"5",3,1,0,1,0,0,0,1,0,0,0
"6",6,0,1,1,1,1,0,0,1,1,0
"7",4,0,0,1,0,0,1,1,1,0,0
"8",5,0,1,1,0,1,1,0,0,1,0
"9",3,0,1,0,1,0,0,0,1,0,0
"10",3,1,0,0,1,0,1,0,0,0,0
"11",6,1,1,0,1,1,0,0,1,1,0
"12",4,1,0,0,0,1,1,0,1,0,0
"13",4,0,1,0,0,1,1,0,1,0,0
"14",3,1,0,0,1,1,0,0,0,0,0
"15",4,1,0,0,1,0,0,0,1,1,0
"16",7,1,1,1,1,0,1,1,1,0,0
"17",5,0,1,1,1,0,1,0,0,1,0
"18",3,0,0,1,1,0,0,1,0,0,0
"19",7,1,1,0,1,0,1,1,1,1,0
"20",2,0,0,1,0,0,0,0,0,1,0
"21",3,0,0,1,0,0,0,1,1,0,0
"22",4,0,1,0,1,1,0,0,1,0,0
"23",6,1,1,1,1,0,0,0,1,1,0
"24",5,0,1,1,1,0,1,0,1,0,0
"25",5,0,0,1,1,1,1,0,0,1,0
"26",3,0,0,1,1,1,0,0,0,0,0
"27",2,0,0,0,0,1,0,0,0,1,0
"28",3,0,0,1,0,0,0,1,1,0,0
"29",5,1,1,1,0,0,1,0,0,1,0
"30",5,1,0,1,1,1,0,1,0,0,0
"31",5,1,0,0,0,1,1,0,1,1,0
"32",3,0,0,0,1,1,1,0,0,0,0
"33",2,0,0,1,0,0,0,1,0,0,0
"34",3,0,0,1,1,1,0,0,0,0,0
"35",5,1,0,1,1,1,1,0,0,0,0
"36",3,0,0,0,0,0,1,0,1,1,0
"37",5,0,0,1,1,0,0,1,1,1,0
"38",4,0,1,1,0,0,1,0,0,1,0
"39",6,1,1,1,0,1,1,0,0,1,0
"40",5,0,1,0,1,0,1,1,0,1,0
"41",4,1,0,0,0,1,0,0,1,1,0
"42",5,1,0,0,0,1,1,0,1,1,0
"43",4,0,1,0,1,0,1,1,0,0,0
"44",6,1,1,0,1,1,0,0,1,1,0
"45",5,0,1,1,0,1,1,0,1,0,0
"46",6,1,1,0,1,1,1,0,0,1,0
"47",5,0,1,1,0,1,0,0,1,1,0
"48",4,0,1,1,0,0,1,0,1,0,0
"49",7,0,1,1,1,1,0,1,1,1,0
"50",4,0,1,1,1,0,0,1,0,0,0
"51",3,1,1,1,0,0,0,0,0,0,0
"52",7,1,1,1,0,0,1,1,1,1,0
"53",4,1,1,1,0,1,0,0,0,0,0
"54",6,1,1,0,1,1,1,0,0,1,0
"55",5,0,1,1,0,0,1,1,1,0,0
"56",4,0,0,0,1,0,1,0,1,1,0
"57",3,0,0,1,0,0,1,1,0,0,0
"58",5,1,1,0,1,0,0,1,0,1,0
"59",4,0,0,0,1,1,1,0,1,0,0
"60",5,1,1,1,0,0,1,0,0,1,0
"61",5,1,0,0,1,0,0,1,1,1,0
"62",1,0,0,0,0,0,0,1,0,0,0
"63",3,1,0,1,0,0,0,1,0,0,0
"64",1,0,0,0,0,0,0,1,0,0,0
"65",5,0,1,1,1,0,1,1,0,0,0
"66",6,1,0,0,1,1,0,1,1,1,0
"67",4,0,0,1,1,0,0,1,1,0,0
"68",6,1,1,1,1,0,0,1,0,1,0
"69",5,1,0,1,1,0,1,0,1,0,0
"70",2,0,1,0,1,0,0,0,0,0,0
"71",3,0,1,0,0,0,0,0,1,1,0
"72",6,0,1,1,1,1,1,0,0,1,0
"73",5,0,1,1,0,0,1,1,1,0,0
"74",6,0,1,0,1,0,1,1,1,1,0
"75",6,0,0,1,1,1,1,1,1,0,0
"76",4,0,1,0,1,0,0,1,0,1,0
"77",6,0,1,0,1,1,1,0,1,1,0
"78",4,0,0,0,0,1,1,1,1,0,0
"79",1,0,0,0,0,0,1,0,0,0,0
"80",4,0,0,0,1,0,1,1,0,1,0
"81",6,0,1,0,1,1,1,1,1,0,0
"82",6,0,1,0,1,1,1,1,0,1,0
"83",5,1,0,0,1,1,0,1,0,1,0
"84",8,1,1,1,1,0,1,1,1,1,0
"85",6,1,1,0,0,1,0,1,1,1,0
"86",7,0,1,1,0,1,1,1,1,1,0
"87",1,0,0,0,1,0,0,0,0,0,0
"88",5,0,0,1,1,1,1,0,1,0,0
"89",2,0,0,0,0,0,1,0,1,0,0
"90",5,0,1,1,1,0,0,1,1,0,0
"91",5,1,1,1,1,0,1,0,0,0,0
"92",5,1,1,1,1,0,1,0,0,0,0
"93",6,1,1,0,0,1,1,1,1,0,0
"94",6,1,1,0,1,0,1,1,1,0,0
"95",4,0,1,1,0,1,1,0,0,0,0
"96",5,1,0,1,0,1,0,0,1,1,0
"97",5,1,0,0,1,0,1,1,1,0,0
"98",6,1,1,1,0,1,0,0,1,1,0
"99",6,0,0,1,0,1,1,1,1,1,0
"100",1,0,0,0,0,0,0,0,0,0,1
