"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Test_ 10","Test_ 11","Test_ 12","Test_ 13","Test_ 14","Test_ 15","Test_ 16","Test_ 17","Test_ 18","Test_ 19","Focal"
"1",11,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0
"2",16,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0
"3",5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"4",10,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
"5",8,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0
"6",11,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0
"7",7,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0
"8",7,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
"9",5,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"10",8,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0
"11",7,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
"12",6,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0
"13",13,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0
"14",9,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0
"15",11,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0
"16",8,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0
"17",9,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0
"18",13,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0
"19",13,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0
"20",12,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0
"21",11,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0
"22",8,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0
"23",10,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0
"24",10,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0
"25",14,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0
"26",12,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0
"27",8,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
"28",10,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0
"29",12,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0
"30",5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"31",10,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
"32",10,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0
"33",9,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0
"34",11,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0
