"","Fitness","Test_1","Test_2","Test_3","Test_4","Test_5","Test_6","Test_7","Test_8","Test_9","Test_10","Test_11","Test_12","Test_13","Test_14","Test_15","Test_16","Test_17","Test_18","Test_19","Focal"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"3",2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"11",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"13",3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"14",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"15",4,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",5,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"18",3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"20",3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"21",5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
"22",3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"23",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"24",5,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"25",2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"26",4,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"29",3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"30",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"31",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"34",4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"35",5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0
"36",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"38",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"39",3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"40",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"41",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"42",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"43",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"46",4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"52",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"53",2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"54",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"60",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",4,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"62",3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"63",4,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"64",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"65",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"66",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"67",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"68",3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"70",2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"73",4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"74",4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"75",3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"76",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"77",2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"78",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"79",2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"80",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"81",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"82",5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
"83",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"87",5,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0
"88",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"90",2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
