"","Fitness","Test_1","Test_2","Test_3","Test_4","Test_5","Test_6","Test_7","Test_8","Test_9","Focal"
"1",4,0,1,0,0,0,0,1,1,1,0
"2",6,1,0,1,0,1,1,0,1,1,0
"3",7,1,1,1,1,1,1,0,0,1,0
"4",4,1,0,0,1,0,0,1,0,1,0
"5",5,1,0,1,1,0,0,1,1,0,0
"6",4,1,0,1,1,0,0,0,0,1,0
"7",3,0,1,0,0,1,0,0,0,1,0
"8",5,1,1,0,0,1,1,1,0,0,0
"9",5,0,1,1,0,0,1,1,0,1,0
"10",4,1,0,0,1,0,1,0,1,0,0
"11",3,0,1,0,1,1,0,0,0,0,0
"12",3,1,0,1,1,0,0,0,0,0,0
"13",6,0,1,0,1,1,1,1,1,0,0
"14",7,1,0,1,0,1,1,1,1,1,0
"15",4,0,1,0,0,1,1,0,1,0,0
"16",8,1,1,1,1,1,1,1,1,0,0
"17",4,1,1,1,0,1,0,0,0,0,0
"18",6,0,0,1,1,0,1,1,1,1,0
"19",1,0,0,0,0,0,0,0,0,0,1
"20",1,0,0,0,0,0,0,0,0,0,1
