"","Fitness","Test_1","Test_2","Test_3","Test_4","Test_5","Test_6","Test_7","Test_8","Test_9","Test_10","Test_11","Test_12","Test_13","Test_14","Test_15","Test_16","Test_17","Test_18","Test_19","Focal"
"1",12,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0
"2",12,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0
"3",11,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0
"4",7,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"5",3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"6",9,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0
"7",10,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0
"8",9,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0
"9",13,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
