"","Fitness","Test_1","Test_2","Test_3","Test_4","Test_5","Test_6","Test_7","Test_8","Test_9","Test_10","Test_11","Test_12","Test_13","Test_14","Test_15","Test_16","Test_17","Test_18","Test_19","Focal"
"1",9,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0
"2",13,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0
"3",12,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0
"4",10,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0
"5",5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
"6",12,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0
"7",9,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0
"8",10,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0
"9",7,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
"10",8,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0
"11",6,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
"12",10,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0
"13",8,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0
"14",11,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0
"15",10,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0
"16",11,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0
"17",7,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0
"18",9,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0
"19",6,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
"20",11,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0
"21",12,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0
"22",12,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0
"23",7,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"24",10,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0
"25",15,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
"26",10,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0
"27",9,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0
"28",5,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"29",7,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0
"30",11,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0
"31",8,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0
"32",6,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0
"33",8,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0
"34",4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"35",11,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0
"36",6,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"37",9,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0
"38",9,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0
"39",11,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0
"40",10,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0
"41",8,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
"42",12,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0
"43",13,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0
"44",8,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0
"45",9,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0
"46",11,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0
"47",14,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
"48",9,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0
"49",8,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0
"50",11,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0
"51",9,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0
"52",11,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0
"53",6,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
"54",10,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0
"55",10,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0
"56",6,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0
"57",8,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
"58",14,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0
"59",9,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0
"60",12,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0
"61",10,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0
"62",10,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0
"63",12,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0
"64",13,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0
"65",5,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"66",9,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0
"67",8,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0
"68",15,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
"69",8,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"70",12,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0
"71",11,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
"72",11,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0
"73",10,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0
"74",9,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0
"75",12,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0
"76",10,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0
"77",6,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
"78",10,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0
"79",13,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0
"80",10,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0
"81",12,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0
"82",8,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0
"83",11,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0
"84",10,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0
"85",8,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0
"86",7,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0
"87",11,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0
"88",12,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0
"89",11,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0
"90",11,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
