"","Fitness","Test_1","Test_2","Test_3","Test_4","Test_5","Test_6","Test_7","Test_8","Test_9","Focal"
"1",4,0,1,0,1,0,0,0,1,1,0
"2",5,1,1,1,1,0,0,0,0,1,0
"3",3,0,0,0,1,0,1,0,0,1,0
"4",3,0,0,1,1,0,0,1,0,0,0
"5",5,0,0,1,1,1,1,0,0,1,0
"6",5,0,1,0,1,0,1,0,1,1,0
"7",5,1,0,1,0,0,1,1,0,1,0
"8",5,1,1,0,0,0,0,1,1,1,0
"9",4,0,0,1,0,1,0,1,1,0,0
"10",6,1,1,1,1,0,1,0,0,1,0
"11",5,1,1,1,1,0,0,1,0,0,0
"12",5,0,1,0,1,0,1,0,1,1,0
"13",3,0,1,0,0,0,1,1,0,0,0
"14",4,0,0,0,1,1,1,0,0,1,0
"15",3,1,0,0,1,0,0,0,1,0,0
"16",2,0,1,0,0,0,0,0,0,1,0
"17",2,0,0,1,0,1,0,0,0,0,0
"18",6,1,0,1,1,1,0,1,1,0,0
"19",7,1,1,0,0,1,1,1,1,1,0
"20",5,1,1,1,1,0,0,1,0,0,0
"21",2,1,0,0,0,0,1,0,0,0,0
"22",5,1,1,1,0,1,0,0,1,0,0
"23",4,1,1,0,0,0,1,0,0,1,0
"24",6,1,1,0,1,0,1,1,0,1,0
"25",2,0,0,0,0,1,0,0,0,1,0
"26",7,1,1,1,1,1,0,0,1,1,0
"27",5,0,0,0,1,1,1,0,1,1,0
"28",5,1,1,1,1,0,0,0,1,0,0
"29",6,0,1,0,1,1,1,0,1,1,0
"30",4,0,1,0,1,0,1,1,0,0,0
"31",5,0,1,0,1,0,1,1,0,1,0
"32",5,1,1,0,1,1,1,0,0,0,0
"33",7,0,1,1,1,1,1,1,1,0,0
"34",5,1,0,1,1,1,1,0,0,0,0
"35",5,1,0,1,1,0,0,1,1,0,0
"36",6,0,1,1,0,0,1,1,1,1,0
"37",4,1,0,0,1,0,0,0,1,1,0
"38",7,1,1,1,0,1,0,1,1,1,0
"39",6,1,1,0,0,0,1,1,1,1,0
"40",5,1,1,1,0,1,1,0,0,0,0
"41",4,1,1,0,0,0,1,0,1,0,0
"42",8,1,1,0,1,1,1,1,1,1,0
"43",3,1,0,0,0,1,0,0,1,0,0
"44",6,1,1,0,1,0,1,1,0,1,0
"45",7,1,0,1,1,1,0,1,1,1,0
"46",5,0,0,1,0,1,0,1,1,1,0
"47",5,1,0,1,0,0,1,1,0,1,0
"48",5,1,0,1,1,1,1,0,0,0,0
"49",7,0,1,1,1,1,1,1,1,0,0
"50",2,0,0,0,0,1,0,1,0,0,0
"51",4,0,1,1,1,0,0,0,1,0,0
"52",5,0,1,1,1,0,1,0,0,1,0
"53",4,0,1,0,1,0,1,0,1,0,0
"54",7,1,0,1,1,1,1,1,0,1,0
"55",5,1,1,1,0,1,0,0,0,1,0
"56",4,0,0,0,1,1,0,1,1,0,0
"57",6,1,1,0,1,1,0,1,0,1,0
"58",5,1,0,0,1,0,1,1,1,0,0
"59",5,0,1,1,1,0,0,1,1,0,0
"60",2,0,1,0,0,0,0,1,0,0,0
"61",6,1,1,1,0,0,1,1,0,1,0
"62",6,1,0,1,1,1,0,0,1,1,0
"63",3,0,0,0,0,1,1,0,0,1,0
"64",5,0,1,1,1,1,1,0,0,0,0
"65",3,0,0,0,1,0,1,0,0,1,0
"66",6,1,1,1,1,0,1,0,0,1,0
"67",3,0,1,0,0,0,0,1,1,0,0
"68",3,1,0,0,0,0,1,0,0,1,0
"69",8,1,1,1,1,1,1,0,1,1,0
"70",5,1,0,0,1,0,1,1,1,0,0
"71",2,1,0,0,1,0,0,0,0,0,0
"72",4,1,0,1,0,1,0,0,0,1,0
"73",3,0,1,0,1,1,0,0,0,0,0
"74",3,0,0,0,1,1,0,0,0,1,0
"75",7,1,1,0,1,1,1,1,0,1,0
"76",4,0,1,0,0,0,1,0,1,1,0
"77",4,1,0,0,0,1,1,0,1,0,0
"78",6,1,0,1,0,1,1,0,1,1,0
"79",5,1,1,1,0,1,0,0,0,1,0
"80",7,1,1,0,1,1,1,1,0,1,0
"81",3,0,1,0,1,0,0,1,0,0,0
"82",2,0,1,0,0,0,0,1,0,0,0
"83",6,1,0,0,1,1,1,1,0,1,0
"84",5,1,0,1,0,0,1,1,1,0,0
"85",4,0,0,0,0,1,0,1,1,1,0
"86",4,0,1,0,1,0,0,1,0,1,0
"87",7,1,1,1,1,1,0,0,1,1,0
"88",4,0,0,1,1,0,1,0,0,1,0
"89",4,0,1,0,1,0,1,0,0,1,0
"90",5,1,1,0,1,1,0,0,0,1,0
"91",1,0,0,0,0,0,0,0,0,0,1
"92",1,0,0,0,0,0,0,0,0,0,1
"93",1,0,0,0,0,0,0,0,0,0,1
"94",1,0,0,0,0,0,0,0,0,0,1
"95",1,0,0,0,0,0,0,0,0,0,1
"96",1,0,0,0,0,0,0,0,0,0,1
"97",1,0,0,0,0,0,0,0,0,0,1
"98",1,0,0,0,0,0,0,0,0,0,1
"99",1,0,0,0,0,0,0,0,0,0,1
"100",1,0,0,0,0,0,0,0,0,0,1
