"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Focal"
"1",4,0,0,1,1,1,1,0,0,0,0
"2",3,1,0,0,1,0,0,0,1,0,0
"3",8,1,1,1,1,1,1,0,1,1,0
"4",5,1,1,0,0,1,1,1,0,0,0
"5",4,0,0,1,1,0,1,0,0,1,0
"6",6,1,0,1,0,1,0,1,1,1,0
"7",3,0,1,1,0,0,1,0,0,0,0
"8",5,1,0,0,1,1,0,0,1,1,0
"9",4,1,0,0,1,0,0,1,0,1,0
"10",6,0,0,1,1,1,1,0,1,1,0
"11",5,0,0,0,1,1,1,1,0,1,0
"12",2,0,0,1,0,0,1,0,0,0,0
"13",2,1,0,0,0,1,0,0,0,0,0
"14",4,0,1,1,0,0,0,1,0,1,0
"15",7,0,1,1,1,1,1,1,1,0,0
"16",4,0,0,1,1,0,1,0,1,0,0
"17",5,0,1,1,0,1,0,0,1,1,0
"18",6,1,1,0,1,0,0,1,1,1,0
"19",4,1,0,1,0,1,0,0,1,0,0
"20",1,0,0,0,0,0,0,0,0,0,1
