"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Focal"
"1",5,1,1,0,0,0,1,1,1,0,0
"2",2,0,0,0,1,0,0,1,0,0,0
"3",5,0,0,1,1,1,1,0,1,0,0
"4",4,0,1,0,0,0,0,1,1,1,0
"5",8,1,1,0,1,1,1,1,1,1,0
"6",4,0,0,1,1,0,1,0,0,1,0
"7",5,0,0,0,1,0,1,1,1,1,0
"8",4,0,0,1,1,1,0,0,0,1,0
"9",5,0,0,0,1,1,1,1,1,0,0
"10",3,0,0,0,1,0,1,0,0,1,0
"11",3,1,0,1,0,0,0,0,0,1,0
"12",7,1,1,0,1,0,1,1,1,1,0
"13",3,0,1,1,0,0,0,0,1,0,0
"14",3,1,0,1,0,0,0,1,0,0,0
"15",5,1,0,1,0,0,1,0,1,1,0
"16",5,0,1,1,1,1,0,0,1,0,0
"17",3,1,0,0,0,1,0,0,0,1,0
"18",4,0,1,0,0,1,0,1,1,0,0
"19",4,0,0,1,1,0,0,1,1,0,0
"20",4,1,0,1,1,1,0,0,0,0,0
"21",6,1,1,0,1,1,1,0,1,0,0
"22",3,0,1,0,1,0,0,0,0,1,0
"23",4,1,0,0,0,1,1,1,0,0,0
"24",6,0,1,0,1,1,1,1,0,1,0
"25",6,1,1,1,1,0,0,0,1,1,0
"26",3,0,1,0,0,0,0,1,0,1,0
"27",5,1,0,1,1,0,0,1,1,0,0
"28",7,1,0,1,1,1,0,1,1,1,0
"29",5,1,0,1,0,1,1,1,0,0,0
"30",5,1,1,1,0,0,0,1,0,1,0
"31",2,0,1,0,1,0,0,0,0,0,0
"32",3,0,0,1,0,1,0,0,0,1,0
"33",4,1,0,1,0,0,1,0,0,1,0
"34",4,1,1,0,1,0,1,0,0,0,0
"35",7,0,1,1,1,1,1,0,1,1,0
"36",4,1,0,0,0,1,1,0,1,0,0
"37",4,0,0,1,0,1,0,1,0,1,0
"38",4,0,1,0,1,0,1,1,0,0,0
"39",6,1,1,1,0,0,1,1,0,1,0
"40",6,0,1,1,0,1,1,1,1,0,0
"41",4,0,0,1,0,0,1,1,1,0,0
"42",4,1,0,1,1,0,0,0,1,0,0
"43",5,1,1,0,0,1,0,1,1,0,0
"44",3,0,0,0,1,0,1,1,0,0,0
"45",5,0,0,1,0,1,1,1,0,1,0
"46",3,0,0,1,1,0,0,1,0,0,0
"47",1,0,0,0,0,0,0,1,0,0,0
"48",2,0,0,1,0,0,0,1,0,0,0
"49",6,1,0,0,1,1,1,1,1,0,0
"50",3,0,1,1,0,0,0,1,0,0,0
"51",5,1,0,0,1,0,1,0,1,1,0
"52",4,1,1,0,0,0,1,0,1,0,0
"53",5,0,0,1,0,1,0,1,1,1,0
"54",5,0,1,0,1,1,1,0,0,1,0
"55",4,0,1,1,1,1,0,0,0,0,0
"56",4,0,0,0,0,1,1,0,1,1,0
"57",4,1,0,1,0,1,0,0,0,1,0
"58",6,0,1,1,0,1,1,1,0,1,0
"59",5,1,0,0,1,1,1,1,0,0,0
"60",3,1,1,0,0,0,1,0,0,0,0
"61",2,0,0,1,0,0,0,0,1,0,0
"62",2,0,0,0,0,1,1,0,0,0,0
"63",4,1,1,0,1,0,0,1,0,0,0
"64",6,1,1,1,0,1,1,0,0,1,0
"65",3,1,0,0,1,0,0,0,1,0,0
"66",6,1,1,1,0,0,1,1,0,1,0
"67",6,1,0,1,0,1,0,1,1,1,0
"68",5,0,1,1,0,1,1,0,1,0,0
"69",2,1,0,1,0,0,0,0,0,0,0
"70",3,1,0,0,0,1,0,0,0,1,0
"71",5,0,1,1,0,1,0,1,1,0,0
"72",3,0,1,0,0,0,1,0,1,0,0
"73",6,1,0,1,1,0,1,1,0,1,0
"74",2,1,0,0,0,0,0,1,0,0,0
"75",4,0,1,0,1,0,1,0,0,1,0
"76",2,0,0,0,0,1,0,0,1,0,0
"77",3,0,0,0,0,1,1,0,0,1,0
"78",4,0,1,1,0,0,1,1,0,0,0
"79",4,1,1,1,0,0,0,0,0,1,0
"80",6,0,1,1,1,1,1,0,0,1,0
"81",4,0,0,1,1,0,1,0,1,0,0
"82",6,1,0,0,1,1,0,1,1,1,0
"83",4,1,0,0,1,1,0,0,0,1,0
"84",2,0,0,0,0,1,1,0,0,0,0
"85",6,0,1,1,1,0,0,1,1,1,0
"86",4,0,1,0,0,0,1,0,1,1,0
"87",5,1,1,1,0,1,0,0,0,1,0
"88",6,1,1,1,0,0,1,1,0,1,0
"89",5,1,0,0,0,1,1,0,1,1,0
"90",5,0,0,1,0,1,1,0,1,1,0
"91",4,1,0,0,0,1,1,1,0,0,0
"92",4,0,0,1,0,1,1,1,0,0,0
"93",5,0,1,0,1,0,0,1,1,1,0
"94",3,1,1,0,0,0,0,0,1,0,0
"95",6,1,1,1,0,1,1,0,0,1,0
"96",2,0,0,0,0,0,1,0,1,0,0
"97",6,1,0,1,0,1,0,1,1,1,0
"98",3,0,1,0,0,0,1,0,0,1,0
"99",7,1,0,1,1,0,1,1,1,1,0
"100",1,0,0,0,0,0,0,0,0,0,1
