"","Selection_Scheme","Test_Case_Number","Population_Size","Pass_Probability","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1","tournament_7","20","100","0_01","0.00798932987","0.00773870975","0.00659446487","0.00950755798","0.00812553547","0.00672812556","0.00582890765","0.00839373478","0.00849394997","0.00678680312","0.0064936598","0.00797201248","0.00607634932","0.00797410072","0.0060153684","0.00884014648","0.00865400134","0.00919415667","0.00937220771","0.0082480893","0.0085896592","0.00843004856","0.00752500957","0.00598360057","0.00721441056","0.00466360255","0.0056733164","0.00793956843","0.00659264055","0.00602126585","0.00762080214","0.00678458963","0.00684006476","0.00673764966","0.00912055516","0.0058224368","0.00676935622","0.008839728","0.006097847","0.00748901395","0.00893173289","0.00886404587","0.00708114315","0.01052393223","0.00835255435","0.00753729844","0.0073237961","0.00647034509","0.00784960021","0.00597401594","0.00584995953","0.00834857313","0.00866697392","0.00817534834","0.00822672407","0.00622514701","0.00619268415","0.00747546428","0.00605985068","0.00620183999","0.00795894488","0.00939153796","0.00738615688","0.00730046538","0.00978018411","0.00878150254","0.00671302706","0.00532438596","0.00714030179","0.00946801694","0.00932717659","0.0079473538","0.00758023336","0.00706994318","0.0083096838","0.01101602897","0.00585212134","0.00704037826","0.00461153202","0.01070112509","0.00576016699","0.00760102828","0.00472691986","0.00723190491","0.00688533047","0.0055343914","0.00685052148","0.01040611415","0.00672693841","0.00952091678","0.032427149","0.032406354","0.032355175","0.032490898","0.032356063","0.032398847","0.032354608","0.032392541","0.032449765","0.032310939"
"2","tournament_7","20","100","0_1","0.011652856298","0.015382502683","0.011682436058","0.013294639291","0.010563580888","0.009410705373","0.011345588302","0.01055177135","0.0106050789107","0.013139362655","0.013378463489","0.009331989971","0.010334236217","0.010796342184","0.009197222742","0.007577083472","0.012331205496","0.01011126423","0.00740523499","0.012131503221","0.010924704131","0.011939123427","0.010272978416","0.012488267702","0.0103310594107","0.010327128117","0.009872503964","0.0090201178514","0.010145384795","0.010453006638","0.008339615527","0.009219045812","0.0138518657927","0.0133235905697","0.008965275182","0.0088767805151","0.012119807421","0.011542111464","0.010946888719","0.011203353854","0.009885275305","0.0115810572037","0.013380384352","0.010760826531","0.0090082306797","0.012904377063","0.014396042219","0.014227316324","0.012102215781","0.010459889623","0.010505256905","0.012515879776","0.012319571566","0.0106352750624","0.01008232513","0.012037240215","0.013730558724","0.011465798091","0.0096093082597","0.011414178044","0.0100364698062","0.009972536716","0.0111869181774","0.0124328414687","0.009917581822","0.012266434836","0.0096783962217","0.008280449799","0.01227102978","0.0101921266604","0.012514320092","0.009359198428","0.013392858213","0.00810092232","0.009724741267","0.012653923468","0.00914302961","0.01101889659","0.012101358948","0.0126136348487","0.011780334019","0.0132030320997","0.012174504585","0.0110785302304","0.008445014606","0.010133561213","0.014540317969","0.0094960453327","0.013657604598","0.009843175387","0.0001379564151","0.00013582191","0.00013704405","0.000141189994","0.000139381883","0.000137207839","0.000137213818","0.000139638114","0.000139373111","0.000138742844"
"3","tournament_7","20","100","1","0.011145527","0.011148128","0.011124089","0.011106002","0.011131393","0.011120814","0.011096433","0.011113499","0.011128671","0.011116546","0.011127674","0.011125699","0.011095465","0.01110596","0.01110357","0.01112985","0.011110726","0.011104755","0.011126566","0.011074117","0.011117027","0.011108368","0.011111553","0.011101964","0.011106212","0.011118855","0.011108133","0.011122012","0.011114299","0.011100736","0.01108781","0.011076081","0.011082214","0.011111915","0.011111165","0.011085603","0.011100093","0.011106173","0.011081716","0.011087049","0.011084536","0.011092943","0.011083972","0.011087576","0.010816382","0.011133799","0.011132609","0.011149993","0.011137742","0.011124738","0.011086523","0.011097976","0.0111174","0.011105644","0.011111899","0.011112739","0.011100006","0.011118262","0.01113125","0.011117278","0.011099659","0.011118783","0.011097124","0.011087886","0.011105631","0.011084194","0.011101295","0.011098308","0.0111043","0.011113724","0.011102399","0.011116465","0.011099208","0.011100743","0.011110605","0.011699413","0.011096835","0.011125667","0.011115847","0.011112979","0.011102415","0.011114267","0.01110474","0.011090616","0.011105843","0.011067999","0.011080633","0.011129646","0.011103214","0.011091843","0","0","0","0","0","0","0","0","0","0"
"4","tournament_7","20","20","0_01","0.03303436857","0.04001573377","0.04025124361","0.0411687002","0.03898549824","0.04281534892","0.02570555125","0.03172400486","0.03088169663","0.03314279813","0.02779607152","0.03791150688","0.04608644042","0.04224922357","0.03832588804","0.02335995451","0.03960500973","0.02799881044","0.17960139","0.17934087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","tournament_7","20","20","0_1","0.0505214611803","0.0617077534946","0.0861019031129","0.0487640403157","0.044325314138","0.0585457935056","0.0529670782034","0.0443018042943","0.061337849395","0.0464295012069","0.0556260668465","0.055115560323","0.0497187529673","0.055624785802","0.0462243074723","0.067295737883","0.0596219185786","0.054796937925","0.0004865128049","0.0004869364786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","tournament_7","20","20","1","0.055478849","0.055589121","0.055566027","0.055519363","0.055590824","0.05557475","0.055579559","0.055520671","0.055573028","0.055525817","0.055528943","0.055513757","0.055591181","0.055553305","0.055516156","0.055627472","0.055560899","0.055590273","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","tournament_7","20","10","0_01","0.075806757","0.0689402754","0.0957563678","0.064350167","0.0586504274","0.0624935251","0.0640138155","0.050950113","0.0624305089","0.396608025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","tournament_7","20","10","0_1","0.0883651273","0.0986061185","0.113374492","0.1296493027","0.0906443544","0.0853970804","0.1325334903","0.1169076691","0.143778815","0.0007435614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","tournament_7","20","10","1","0.11110674","0.11113725","0.1110998","0.11111218","0.1110718","0.11112883","0.11110867","0.11110704","0.11112762","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","tournament_7","10","100","0_01","0.0069517746","0.0061860402","0.0065377096","0.007273181","0.0059981067","0.0061539489","0.0069113279","0.0075665199","0.0061038772","0.006363007","0.0072790838","0.0056445429","0.0061954855","0.0057075384","0.0067464391","0.0070587873","0.0076305723","0.0045349953","0.0083289636","0.0084231253","0.0064564527","0.005385985","0.0071758724","0.0068098766","0.006191504","0.0057438154","0.0073836223","0.0061266689","0.0037061534","0.0079841289","0.0067848858","0.0084633257","0.0056359035","0.0062144639","0.0067681073","0.0053666483","0.0065006436","0.0045764428","0.0059730204","0.0056083006","0.005633764","0.0064486952","0.0057244764","0.0075154151","0.0071494433","0.0053844563","0.0064481679","0.0044735693","0.0049524475","0.0069732326","0.0060861496","0.0064280564","0.0049308162","0.0049862235","0.0052237239","0.0046510778","0.0080544355","0.0083394687","0.0053407902","0.0092501356","0.0076098223","0.0037986465","0.0060643231","0.0077825902","0.0064227255","0.0071658087","0.0060657328","0.0070193868","0.0063987353","0.0064778437","0.006436609","0.0068963976","0.0064246373","0.0066309805","0.0042100011","0.005938986","0.0060524591","0.0084137182","0.0045913702","0.0077158419","0.0056342322","0.0075588868","0.0083287801","0.0064850088","0.0072864117","0.006196569","0.0048872892","0.0072650293","0.0056709618","0.0059099097","0.042471414","0.042321698","0.042498007","0.042445352","0.042398237","0.042384684","0.042383641","0.042423511","0.042394512","0.042493856"
